,antecedants,consequents,support,confidence
209,"frozenset({'Q15', 'Q26', 'Q21', 'Q20'})",frozenset({'Q19'}),126,1.0
210,"frozenset({'Q20', 'Q1', 'Q27', 'Q19'})",frozenset({'Q21'}),130,0.9701492537313433
211,"frozenset({'Q1', 'Q27', 'Q19'})","frozenset({'Q20', 'Q21'})",130,0.9090909090909091
212,"frozenset({'Q20', 'Q27', 'Q19'})","frozenset({'Q21', 'Q1'})",130,0.8843537414965986
213,"frozenset({'Q20', 'Q1', 'Q27'})","frozenset({'Q21', 'Q19'})",130,0.9629629629629629
214,"frozenset({'Q20', 'Q27'})","frozenset({'Q21', 'Q1', 'Q19'})",130,0.87248322147651
215,"frozenset({'Q21', 'Q1', 'Q27', 'Q19'})",frozenset({'Q20'}),130,0.9629629629629629
216,"frozenset({'Q21', 'Q27', 'Q19'})","frozenset({'Q20', 'Q1'})",130,0.87248322147651
217,"frozenset({'Q21', 'Q1', 'Q27'})","frozenset({'Q20', 'Q19'})",130,0.948905109489051
218,"frozenset({'Q20', 'Q21', 'Q27', 'Q19'})",frozenset({'Q1'}),130,0.9154929577464789
219,"frozenset({'Q20', 'Q21', 'Q1', 'Q19'})",frozenset({'Q27'}),130,0.9285714285714286
220,"frozenset({'Q21', 'Q1', 'Q19'})","frozenset({'Q20', 'Q27'})",130,0.8843537414965986
221,"frozenset({'Q21', 'Q1'})","frozenset({'Q20', 'Q27', 'Q19'})",130,0.8666666666666667
222,"frozenset({'Q20', 'Q1', 'Q19'})","frozenset({'Q21', 'Q27'})",130,0.896551724137931
223,"frozenset({'Q20', 'Q1'})","frozenset({'Q21', 'Q27', 'Q19'})",130,0.8904109589041096
224,"frozenset({'Q21', 'Q20', 'Q1'})","frozenset({'Q27', 'Q19'})",130,0.9285714285714286
225,"frozenset({'Q20', 'Q21', 'Q1', 'Q27'})",frozenset({'Q19'}),130,1.0
226,"frozenset({'Q21', 'Q20', 'Q27'})","frozenset({'Q1', 'Q19'})",130,0.9090909090909091
227,"frozenset({'Q26', 'Q17', 'Q21', 'Q19'})",frozenset({'Q15'}),118,0.9752066115702479
228,"frozenset({'Q15', 'Q26', 'Q21', 'Q19'})",frozenset({'Q17'}),118,0.8939393939393939
229,"frozenset({'Q15', 'Q17', 'Q26', 'Q19'})",frozenset({'Q21'}),118,0.9672131147540983
230,"frozenset({'Q26', 'Q17', 'Q19'})","frozenset({'Q15', 'Q21'})",118,0.944
231,"frozenset({'Q15', 'Q26', 'Q19'})","frozenset({'Q17', 'Q21'})",118,0.8613138686131386
232,"frozenset({'Q15', 'Q17', 'Q26'})","frozenset({'Q21', 'Q19'})",118,0.9291338582677166
233,"frozenset({'Q26', 'Q17'})","frozenset({'Q15', 'Q21', 'Q19'})",118,0.9007633587786259
234,"frozenset({'Q15', 'Q17', 'Q21', 'Q19'})",frozenset({'Q26'}),118,1.0
235,"frozenset({'Q17', 'Q21', 'Q19'})","frozenset({'Q15', 'Q26'})",118,0.9752066115702479
236,"frozenset({'Q15', 'Q21', 'Q19'})","frozenset({'Q26', 'Q17'})",118,0.8939393939393939
237,"frozenset({'Q15', 'Q17', 'Q19'})","frozenset({'Q26', 'Q21'})",118,0.944
238,"frozenset({'Q17', 'Q19'})","frozenset({'Q15', 'Q26', 'Q21'})",118,0.921875
239,"frozenset({'Q15', 'Q17'})","frozenset({'Q26', 'Q21', 'Q19'})",118,0.8872180451127819
240,frozenset({'Q17'}),"frozenset({'Q15', 'Q26', 'Q21', 'Q19'})",118,0.8613138686131386
